Date,Open,High,Low,Close,Volume,Change,MA3,MA5
2024-11-28,164600,166300,160800,161100,5691298,-0.04278074866310155,168833.33333333334,172040.0
2024-11-29,160000,162400,157600,159900,4682788,-0.007448789571694592,163100.0,168680.0
2024-12-02,162200,162700,158600,158800,3558868,-0.0068792995622264375,159933.33333333334,165040.0
2024-12-03,159200,165100,159100,164900,4180365,0.038413098236775856,161200.0,162600.0
2024-12-04,161300,168000,161100,168000,5701792,0.018799272286234014,163900.0,162540.0
2024-12-05,170000,175600,169300,173000,4671438,0.029761904761904656,168633.33333333334,164920.0
2024-12-06,173500,173600,165000,167100,4434259,-0.03410404624277452,169366.66666666666,166360.0
2024-12-09,167100,170600,165000,168900,5305672,0.010771992818671361,169666.66666666666,168380.0
2024-12-10,168000,170400,167600,170400,3159112,0.008880994671403242,168800.0,169480.0
2024-12-11,167400,171800,167000,171800,2281189,0.008215962441314506,170366.66666666666,170240.0
2024-12-12,176500,177400,173500,176100,4550292,0.02502910360884747,172766.66666666666,170860.0
2024-12-13,174400,176400,173500,175500,3677980,-0.0034071550255536653,174466.66666666666,172540.0
2024-12-16,177400,180400,177300,179300,3278975,0.02165242165242165,176966.66666666666,174620.0
2024-12-17,183000,184500,182100,184000,3188910,0.026213050752928124,179600.0,177340.0
2024-12-18,183400,183900,181600,183500,2363872,-0.0027173913043477826,182266.66666666666,179680.0
2024-12-19,173900,176800,173000,175000,4833862,-0.0463215258855586,180833.33333333334,179460.0
2024-12-20,174100,174800,167100,168500,4487308,-0.037142857142857144,175666.66666666666,178060.0
2024-12-23,170000,173300,169600,169600,3287596,0.006528189910979254,171033.33333333334,176120.0
2024-12-24,171700,171900,168300,168500,1844961,-0.006485849056603765,168866.66666666666,173020.0
2024-12-26,170000,172000,169400,170100,2022727,0.00949554896142435,169400.0,170340.0
2024-12-27,170100,176000,170000,174500,2643523,0.025867136978248162,171033.33333333334,170240.0
2024-12-30,174000,175800,172400,173900,1434202,-0.0034383954154727503,172833.33333333334,171320.0
2025-01-02,170500,172200,170000,171200,2102175,-0.01552616446233468,173200.0,171640.0
2025-01-03,174500,182700,173100,181900,4233446,0.0625,175666.66666666666,174320.0
2025-01-06,184400,199800,184400,199800,7320382,0.09840571742715776,184300.0,180260.0
2025-01-07,205000,206500,194800,195000,6075445,-0.024024024024024038,192233.33333333334,184360.0
2025-01-08,193100,198100,191000,194700,4275792,-0.0015384615384614886,196500.0,188520.0
2025-01-09,201000,206000,199800,205000,6692254,0.052901900359527465,198233.33333333334,195280.0
2025-01-10,208000,212500,202500,203500,6149475,-0.007317073170731714,201066.66666666666,199600.0
2025-01-13,203000,203000,193900,194300,4767294,-0.04520884520884516,200933.33333333334,198500.0
